2,3,Party,Votes,Round,,,,,,,
Bindu,Irinjalakkuda,Independent,6,R-1,,,,,,,
Bindu,Irinjalakkuda,Independent,14,R-2,,,,,,,
Bindu,Irinjalakkuda,Independent,6,R-3,,,,,,,
Bindu,Irinjalakkuda,Independent,7,R-4,,,,,,,
Bindu,Irinjalakkuda,Independent,12,R-5,,,,,,,
Bindu,Irinjalakkuda,Independent,7,R-6,,,,,,,
Bindu,Irinjalakkuda,Independent,13,R-7,,,,,,,
Bindu,Irinjalakkuda,Independent,12,R-8,,,,,,,
Bindu,Irinjalakkuda,Independent,8,R-9,,,,,,,
Bindu,Irinjalakkuda,Independent,22,R-10,,,,,,,
Bindu,Irinjalakkuda,Independent,10,R-11,,,,,,,
Bindu,Irinjalakkuda,Independent,7,R-12,,,,,,,
Bindu,Irinjalakkuda,Independent,9,R-13,,,,,,,
Bindu,Irinjalakkuda,Independent,7,R-14,,,,,,,
Bindu,Irinjalakkuda,Independent,1,R-15,,,,,,,
Vaxerin,Irinjalakkuda,Independent,27,R-1,,,,,,,
Vaxerin,Irinjalakkuda,Independent,34,R-2,,,,,,,
Vaxerin,Irinjalakkuda,Independent,33,R-3,,,,,,,
Vaxerin,Irinjalakkuda,Independent,22,R-4,,,,,,,
Vaxerin,Irinjalakkuda,Independent,32,R-5,,,,,,,
Vaxerin,Irinjalakkuda,Independent,32,R-6,,,,,,,
Vaxerin,Irinjalakkuda,Independent,28,R-7,,,,,,,
Vaxerin,Irinjalakkuda,Independent,30,R-8,,,,,,,
Vaxerin,Irinjalakkuda,Independent,33,R-9,,,,,,,
Vaxerin,Irinjalakkuda,Independent,28,R-10,,,,,,,
Vaxerin,Irinjalakkuda,Independent,47,R-11,,,,,,,
Vaxerin,Irinjalakkuda,Independent,47,R-12,,,,,,,
Vaxerin,Irinjalakkuda,Independent,45,R-13,,,,,,,
Vaxerin,Irinjalakkuda,Independent,44,R-14,,,,,,,
Vaxerin,Irinjalakkuda,Independent,21,R-15,,,,,,,
NOTA,Irinjalakkuda,None of the Above,31,R-1,,,,,,,
NOTA,Irinjalakkuda,None of the Above,46,R-2,,,,,,,
NOTA,Irinjalakkuda,None of the Above,29,R-3,,,,,,,
NOTA,Irinjalakkuda,None of the Above,42,R-4,,,,,,,
NOTA,Irinjalakkuda,None of the Above,41,R-5,,,,,,,
NOTA,Irinjalakkuda,None of the Above,41,R-6,,,,,,,
NOTA,Irinjalakkuda,None of the Above,60,R-7,,,,,,,
NOTA,Irinjalakkuda,None of the Above,34,R-8,,,,,,,
NOTA,Irinjalakkuda,None of the Above,38,R-9,,,,,,,
NOTA,Irinjalakkuda,None of the Above,43,R-10,,,,,,,
NOTA,Irinjalakkuda,None of the Above,33,R-11,,,,,,,
NOTA,Irinjalakkuda,None of the Above,40,R-12,,,,,,,
NOTA,Irinjalakkuda,None of the Above,38,R-13,,,,,,,
NOTA,Irinjalakkuda,None of the Above,56,R-14,,,,,,,
NOTA,Irinjalakkuda,None of the Above,11,R-15,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2775,R-1,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2646,R-2,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,3452,R-3,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2007,R-4,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2228,R-5,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,1677,R-6,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2192,R-7,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,1898,R-8,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,1519,R-9,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2596,R-10,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2887,R-11,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2869,R-12,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2544,R-13,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,2361,R-14,,,,,,,
A. Nagesh (Parameswaran.A),Puthukkad,Bharatiya Janata Party,549,R-15,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,27,R-1,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,43,R-2,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,38,R-3,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,30,R-4,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,26,R-5,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,22,R-6,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,31,R-7,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,32,R-8,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,36,R-9,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,26,R-10,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,27,R-11,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,24,R-12,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,30,R-13,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,41,R-14,,,,,,,
P.C. Pushpakaran,Puthukkad,Bahujan Samaj Party,7,R-15,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),4898,R-1,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),4954,R-2,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),6278,R-3,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),4542,R-4,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),4109,R-5,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),5635,R-6,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),4549,R-7,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),4838,R-8,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),4764,R-9,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),4719,R-10,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),4772,R-11,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),5387,R-12,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),5189,R-13,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),5066,R-14,,,,,,,
K.K. Ramachandran,Puthukkad,Communist Party of India (Marxist),1550,R-15,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,2211,R-1,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,2773,R-2,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,2999,R-3,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,4295,R-4,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,3368,R-5,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,3134,R-6,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,3151,R-7,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,3161,R-8,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,4775,R-9,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,3252,R-10,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,2841,R-11,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,1937,R-12,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,2537,R-13,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,3243,R-14,,,,,,,
Sunil Anthikkad (Sunilkumar. P.V),Puthukkad,Indian National Congress,853,R-15,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,27,R-1,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,33,R-2,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,51,R-3,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,28,R-4,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,23,R-5,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,25,R-6,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,35,R-7,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,45,R-8,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,45,R-9,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,31,R-10,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,24,R-11,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,30,R-12,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,34,R-13,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,32,R-14,,,,,,,
Rajesh Appatt,Puthukkad,Communist Party of India (Marxist-Leninist) Red Star,12,R-15,,,,,,,
NOTA,Puthukkad,None of the Above,76,R-1,,,,,,,
NOTA,Puthukkad,None of the Above,93,R-2,,,,,,,
NOTA,Puthukkad,None of the Above,83,R-3,,,,,,,
NOTA,Puthukkad,None of the Above,80,R-4,,,,,,,
NOTA,Puthukkad,None of the Above,53,R-5,,,,,,,
NOTA,Puthukkad,None of the Above,72,R-6,,,,,,,
NOTA,Puthukkad,None of the Above,54,R-7,,,,,,,
NOTA,Puthukkad,None of the Above,89,R-8,,,,,,,
NOTA,Puthukkad,None of the Above,81,R-9,,,,,,,
NOTA,Puthukkad,None of the Above,84,R-10,,,,,,,
NOTA,Puthukkad,None of the Above,75,R-11,,,,,,,
NOTA,Puthukkad,None of the Above,73,R-12,,,,,,,
NOTA,Puthukkad,None of the Above,65,R-13,,,,,,,
NOTA,Puthukkad,None of the Above,56,R-14,,,,,,,
NOTA,Puthukkad,None of the Above,19,R-15,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,51,R-1,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,48,R-2,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,37,R-3,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,42,R-4,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,37,R-5,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,49,R-6,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,56,R-7,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,33,R-8,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,33,R-9,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,54,R-10,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,49,R-11,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,42,R-12,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,34,R-13,,,,,,,
M S Asokan,Chalakkudy,Bahujan Samaj Party,32,R-14,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),4209,R-1,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),4674,R-2,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),4642,R-3,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),4326,R-4,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),4257,R-5,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),4615,R-6,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),3596,R-7,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),3925,R-8,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),2923,R-9,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),4554,R-10,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),5140,R-11,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),4474,R-12,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),4876,R-13,,,,,,,
DENNIES K ANTONY,Chalakkudy,Kerala Congress (M),3305,R-14,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,3425,R-1,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,4218,R-2,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,4602,R-3,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,4541,R-4,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,4996,R-5,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,4360,R-6,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,4522,R-7,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,5079,R-8,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,4438,R-9,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,3606,R-10,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,5420,R-11,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,4552,R-12,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,3494,R-13,,,,,,,
Saneeshkumar Joseph,Chalakkudy,Indian National Congress,3199,R-14,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1388,R-1,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,2065,R-2,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1114,R-3,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1486,R-4,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,552,R-5,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1233,R-6,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1218,R-7,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1138,R-8,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1322,R-9,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1645,R-10,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1166,R-11,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,1164,R-12,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,914,R-13,,,,,,,
Unnikrishnan K.A,Chalakkudy,Bharath Dharma Jana Sena,609,R-14,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),19,R-1,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),21,R-2,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),15,R-3,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9,R-4,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7,R-5,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),19,R-6,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),12,R-7,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),16,R-8,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),21,R-9,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),61,R-10,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),16,R-11,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),11,R-12,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),12,R-13,,,,,,,
Dharmajan P K,Chalakkudy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5,R-14,,,,,,,
Cheriya,Chalakkudy,Independent,11,R-1,,,,,,,
Cheriya,Chalakkudy,Independent,12,R-2,,,,,,,
Cheriya,Chalakkudy,Independent,8,R-3,,,,,,,
Cheriya,Chalakkudy,Independent,19,R-4,,,,,,,
Cheriya,Chalakkudy,Independent,20,R-5,,,,,,,
Cheriya,Chalakkudy,Independent,8,R-6,,,,,,,
Cheriya,Chalakkudy,Independent,9,R-7,,,,,,,
Cheriya,Chalakkudy,Independent,8,R-8,,,,,,,
Cheriya,Chalakkudy,Independent,7,R-9,,,,,,,
Cheriya,Chalakkudy,Independent,11,R-10,,,,,,,
Cheriya,Chalakkudy,Independent,11,R-11,,,,,,,
Cheriya,Chalakkudy,Independent,5,R-12,,,,,,,
Cheriya,Chalakkudy,Independent,6,R-13,,,,,,,
Cheriya,Chalakkudy,Independent,2,R-14,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,4,R-1,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,10,R-2,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,17,R-3,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,4,R-4,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,20,R-5,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,20,R-6,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,22,R-7,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,4,R-8,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,7,R-9,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,9,R-10,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,8,R-11,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,4,R-12,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,6,R-13,,,,,,,
Joshy Vattoly,Chalakkudy,Independent,8,R-14,,,,,,,
T N Rajan,Chalakkudy,Independent,35,R-1,,,,,,,
T N Rajan,Chalakkudy,Independent,77,R-2,,,,,,,
T N Rajan,Chalakkudy,Independent,46,R-3,,,,,,,
T N Rajan,Chalakkudy,Independent,75,R-4,,,,,,,
T N Rajan,Chalakkudy,Independent,23,R-5,,,,,,,
T N Rajan,Chalakkudy,Independent,57,R-6,,,,,,,
T N Rajan,Chalakkudy,Independent,91,R-7,,,,,,,
T N Rajan,Chalakkudy,Independent,44,R-8,,,,,,,
T N Rajan,Chalakkudy,Independent,30,R-9,,,,,,,
T N Rajan,Chalakkudy,Independent,69,R-10,,,,,,,
T N Rajan,Chalakkudy,Independent,50,R-11,,,,,,,
T N Rajan,Chalakkudy,Independent,42,R-12,,,,,,,
T N Rajan,Chalakkudy,Independent,32,R-13,,,,,,,
T N Rajan,Chalakkudy,Independent,21,R-14,,,,,,,
Rosilin,Chalakkudy,Independent,12,R-1,,,,,,,
Rosilin,Chalakkudy,Independent,21,R-2,,,,,,,
Rosilin,Chalakkudy,Independent,21,R-3,,,,,,,
Rosilin,Chalakkudy,Independent,17,R-4,,,,,,,
Rosilin,Chalakkudy,Independent,20,R-5,,,,,,,
Rosilin,Chalakkudy,Independent,15,R-6,,,,,,,
Rosilin,Chalakkudy,Independent,14,R-7,,,,,,,
Rosilin,Chalakkudy,Independent,17,R-8,,,,,,,
Rosilin,Chalakkudy,Independent,19,R-9,,,,,,,
Rosilin,Chalakkudy,Independent,15,R-10,,,,,,,
Rosilin,Chalakkudy,Independent,20,R-11,,,,,,,
Rosilin,Chalakkudy,Independent,13,R-12,,,,,,,
Rosilin,Chalakkudy,Independent,18,R-13,,,,,,,
Rosilin,Chalakkudy,Independent,12,R-14,,,,,,,
NOTA,Chalakkudy,None of the Above,102,R-1,,,,,,,
NOTA,Chalakkudy,None of the Above,74,R-2,,,,,,,
NOTA,Chalakkudy,None of the Above,62,R-3,,,,,,,
NOTA,Chalakkudy,None of the Above,57,R-4,,,,,,,
NOTA,Chalakkudy,None of the Above,52,R-5,,,,,,,
NOTA,Chalakkudy,None of the Above,56,R-6,,,,,,,
NOTA,Chalakkudy,None of the Above,69,R-7,,,,,,,
NOTA,Chalakkudy,None of the Above,100,R-8,,,,,,,
NOTA,Chalakkudy,None of the Above,79,R-9,,,,,,,
NOTA,Chalakkudy,None of the Above,61,R-10,,,,,,,
NOTA,Chalakkudy,None of the Above,64,R-11,,,,,,,
NOTA,Chalakkudy,None of the Above,69,R-12,,,,,,,
NOTA,Chalakkudy,None of the Above,77,R-13,,,,,,,
NOTA,Chalakkudy,None of the Above,61,R-14,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,3103,R-1,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,3032,R-2,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,3511,R-3,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,3139,R-4,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,3209,R-5,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,3337,R-6,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,1994,R-7,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,2231,R-8,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,1766,R-9,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,3649,R-10,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,4071,R-11,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,4626,R-12,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,4085,R-13,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,4166,R-14,,,,,,,
M. P. JACKSON,Kodungallur,Indian National Congress,98,R-15,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,15,R-1,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,22,R-2,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,28,R-3,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,35,R-4,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,22,R-5,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,25,R-6,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,34,R-7,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,26,R-8,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,18,R-9,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,25,R-10,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,30,R-11,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,20,R-12,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,21,R-13,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,21,R-14,,,,,,,
REMYA MOHANAN,Kodungallur,Bahujan Samaj Party,0,R-15,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1886,R-1,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1583,R-2,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1665,R-3,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1804,R-4,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1818,R-5,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1952,R-6,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,3079,R-7,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,3131,R-8,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,2310,R-9,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1912,R-10,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1781,R-11,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1219,R-12,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1501,R-13,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,1852,R-14,,,,,,,
SANTHOSH CHERAKKULAM,Kodungallur,Bharatiya Janata Party,107,R-15,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,5330,R-1,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,6167,R-2,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,5166,R-3,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,4901,R-4,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,4408,R-5,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,3840,R-6,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,5145,R-7,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,5060,R-8,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,5558,R-9,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,5707,R-10,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,4706,R-11,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,3977,R-12,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,4467,R-13,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,4778,R-14,,,,,,,
Adv. V. R. SUNILKUMAR,Kodungallur,Communist Party of India,237,R-15,,,,,,,
O. M. SREEJA,Kodungallur,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),11,R-1,,,,,,,
